,task,ns_seq_ind,rep,w1
0,door-unlock-v2,45000,9,1.7938625352592703
0,door-unlock-v2,50000,0,2.0076175074075446
0,door-unlock-v2,50000,1,2.0036632643140684
0,door-unlock-v2,50000,2,2.01123140047802
0,door-unlock-v2,50000,3,2.007505607835317
0,door-unlock-v2,50000,4,2.011117506033067
0,door-unlock-v2,50000,5,2.008181463771488
0,door-unlock-v2,50000,6,2.007101004570017
0,door-unlock-v2,50000,7,2.006640607089235
0,door-unlock-v2,50000,8,2.0122852531233524
0,door-unlock-v2,50000,9,2.003976788548955
0,door-unlock-v2,55000,0,2.176828399243328
0,door-unlock-v2,55000,1,2.1813151021892043
0,door-unlock-v2,55000,2,2.177776226133921
0,door-unlock-v2,55000,3,2.183295685836423
0,door-unlock-v2,55000,4,2.1751355427075474
0,door-unlock-v2,55000,5,2.1798073091661516
0,door-unlock-v2,55000,6,2.177618878467594
0,door-unlock-v2,55000,7,2.1743146637429684
0,door-unlock-v2,55000,8,2.1801258291533467
0,door-unlock-v2,55000,9,2.1769939776245724
0,door-unlock-v2,60000,0,2.405369071950463
0,door-unlock-v2,60000,1,2.402797447218023
0,door-unlock-v2,60000,2,2.4002728018943977
0,door-unlock-v2,60000,3,2.3956243015897765
0,door-unlock-v2,60000,4,2.4037580115352872
0,door-unlock-v2,60000,5,2.40112891958934
0,door-unlock-v2,60000,6,2.4050659896867796
0,door-unlock-v2,60000,7,2.399908818440083
0,door-unlock-v2,60000,8,2.4017141266595288
0,door-unlock-v2,60000,9,2.3982133938232377
0,door-unlock-v2,65000,0,2.5659710798530075
0,door-unlock-v2,65000,1,2.565795375011117
0,door-unlock-v2,65000,2,2.570563786746736
0,door-unlock-v2,65000,3,2.5702362670031085
0,door-unlock-v2,65000,4,2.5664907742158425
0,door-unlock-v2,65000,5,2.5754785551457475
0,door-unlock-v2,65000,6,2.5584192732908497
0,door-unlock-v2,65000,7,2.5685710495771064
0,door-unlock-v2,65000,8,2.572601895005139
0,door-unlock-v2,65000,9,2.568314226956275
0,door-unlock-v2,70000,0,2.753472865646217
0,door-unlock-v2,70000,1,2.75618363802277
0,door-unlock-v2,70000,2,2.7530873925331973
